Split,Strategy,Fold,F2,AvgPrecision,ROC-AUC,P@100,Precision,Recall,AP_shared_comp,AP_unique_comp
grouped,RUS,2,0.4391371340523883,0.3839207615625125,0.8811725206611569,0.4,0.17325227963525835,0.7125,0.3485200451563508,0.40655946633472123
grouped,RUS,3,0.4219409282700422,0.31157150738326733,0.8629219755913133,0.36,0.15503875968992248,0.7407407407407407,0.16296789374984652,0.3471964105969493
grouped,RUS,4,0.4398447606727037,0.36211556040453846,0.8622458990660073,0.37,0.16957605985037408,0.7311827956989247,0.24429544332545783,0.422394665201907
grouped,RUS,5,0.41044776119402987,0.3777126500273014,0.8409592281930744,0.45,0.15566037735849056,0.6947368421052632,0.4437008982207908,0.3694589428174264
grouped,RUS,6,0.41832669322709165,0.4064312337810678,0.865338127655563,0.42,0.15555555555555556,0.7241379310344828,0.1053338856398215,0.4816920190525181
grouped,RUS,7,0.4050464807436919,0.3282447720238113,0.8846722335659647,0.29,0.1358574610244989,0.8026315789473685,0.3014676300537718,0.37122828658546103
grouped,RUS,8,0.47435897435897434,0.3796899317673109,0.8568695263393209,0.43,0.18316831683168316,0.7872340425531915,0.2964747875896759,0.42037056893155833
grouped,RUS,9,0.3652058432934927,0.32995558014280557,0.8560840544922409,0.36,0.1282051282051282,0.6790123456790124,0.3311148344189755,0.34982522748943584
grouped,RUS,10,0.43256997455470736,0.35075229076578673,0.8246064463248234,0.42,0.17435897435897435,0.6868686868686869,0.2830183181664124,0.3698841018536695
grouped,RUS,11,0.45121951219512196,0.39943434242611187,0.8799072304507087,0.45,0.16228070175438597,0.8131868131868132,0.3783945167479403,0.42148102516157887
grouped,RUS,12,0.4319371727748691,0.3712477950606017,0.86845518712634,0.35,0.15714285714285714,0.7674418604651163,0.23218726564893546,0.41774152490237604
grouped,RUS,13,0.4359673024523161,0.3284175081197858,0.8520933014354066,0.33,0.1807909604519774,0.6736842105263158,0.1734784244145264,0.3876059236969104
grouped,RUS,14,0.4027777777777778,0.3042791369649833,0.8525756433874838,0.34,0.15104166666666666,0.6904761904761905,0.32010343713738887,0.31891151219889585
grouped,RUS,15,0.42297979797979796,0.3847660890895826,0.8751051980650875,0.37,0.14316239316239315,0.8271604938271605,0.33106970913837985,0.4072394606468137
random,None,1,0.22911051212938005,0.4614710581129032,0.8892036608315395,0.44,0.7391304347826086,0.19540229885057472,0.5032489373221878,0.4586121097098571
random,None,2,0.2994791666666667,0.37684233991482896,0.861084033954754,0.37,0.6388888888888888,0.26436781609195403,0.4236965842471131,0.3635532156801779
random,None,3,0.34615384615384615,0.4938624968523798,0.9075674987946645,0.46,0.7105263157894737,0.3068181818181818,0.23019913485409385,0.5823679637535379
random,None,4,0.29411764705882354,0.45069790842296104,0.8866850591953715,0.45,0.5897435897435898,0.26136363636363635,0.508089612792818,0.4427094494736133
random,None,5,0.22606382978723405,0.43671198885159707,0.8905235066615189,0.45,0.6071428571428571,0.19540229885057472,0.3647625035963506,0.46662689018500103
random,None,6,0.3246753246753247,0.486935787386292,0.909237371891204,0.49,0.6756756756756757,0.28735632183908044,0.5012440831035652,0.49727454669765103
random,None,7,0.2770448548812665,0.5075971544269023,0.9146663417407904,0.44,0.6774193548387096,0.2413793103448276,0.28142412617384616,0.5669237487145331
random,None,8,0.2842377260981912,0.4057466183611697,0.8991870680880698,0.41,0.6285714285714286,0.25,0.3765979411269436,0.42195329780384966
random,None,9,0.24804177545691905,0.4175021987254753,0.8738381903894572,0.46,0.6129032258064516,0.2159090909090909,0.3531655326491749,0.45115286199339266
random,None,10,0.27631578947368424,0.4403875908448314,0.870610069155169,0.4,0.65625,0.2413793103448276,0.48740431875506224,0.45156313243311763
random,None,11,0.21164021164021163,0.3145080575687812,0.8345788825257572,0.35,0.5333333333333333,0.1839080459770115,0.24672314961551522,0.3502524625996008
random,None,12,0.3010471204188482,0.44741435809788865,0.8976077332358555,0.44,0.6764705882352942,0.26436781609195403,0.46231229417327696,0.45777767180094814
random,None,13,0.2879581151832461,0.43987181212674364,0.8802398617881824,0.44,0.7333333333333333,0.25,0.2973834208548563,0.5199268129456417
random,None,14,0.42606516290726815,0.5498048710711516,0.935179728933412,0.54,0.723404255319149,0.38636363636363635,0.7256389521095403,0.518507619054957
random,None,15,0.2894736842105263,0.46543586894984956,0.890841850730498,0.44,0.6875,0.25287356321839083,0.42418828584951707,0.47964574683037786
random,ClassWeight,1,0.528169014084507,0.4260126905165358,0.878095257436064,0.42,0.2727272727272727,0.6896551724137931,0.4823650447014026,0.4142901117035064
random,ClassWeight,2,0.45373665480427045,0.36953801046042034,0.8730250599082086,0.39,0.2383177570093458,0.5862068965517241,0.38331604880965203,0.3687000651435106
random,ClassWeight,3,0.5291005291005291,0.4722854323528045,0.9035831949429474,0.45,0.27906976744186046,0.6818181818181818,0.23603624447481408,0.5363264654012759
random,ClassWeight,4,0.4915254237288136,0.42316726582807546,0.8791851931215514,0.44,0.24369747899159663,0.6590909090909091,0.4059361295068634,0.4363217158515392
random,ClassWeight,5,0.5077452667814114,0.42058074232245946,0.8813931278320768,0.46,0.2532188841201717,0.6781609195402298,0.3698945705075747,0.44573985061996263
random,ClassWeight,6,0.5281090289608177,0.45521359412027357,0.8972963459377497,0.49,0.2594142259414226,0.7126436781609196,0.4802316721929649,0.461775570028785
random,ClassWeight,7,0.5657237936772047,0.47867500787393225,0.9156275807914653,0.46,0.26877470355731226,0.7816091954022989,0.3283851140850277,0.5293671479700592
random,ClassWeight,8,0.5102040816326531,0.4062405726368576,0.8988120747843789,0.41,0.2542372881355932,0.6818181818181818,0.3189256500367949,0.4331408976261191
random,ClassWeight,9,0.45698924731182794,0.3975679470465839,0.8697333529758399,0.42,0.24757281553398058,0.5795454545454546,0.33837074343194246,0.423835790774516
random,ClassWeight,10,0.4956521739130435,0.43105504286120633,0.8660719728527014,0.39,0.2511013215859031,0.6551724137931034,0.4249001284372066,0.44552844243797635
random,ClassWeight,11,0.4537521815008726,0.30506686816332496,0.8449122023205123,0.3,0.2311111111111111,0.5977011494252874,0.24083588444779386,0.3325358979605265
random,ClassWeight,12,0.4965753424657534,0.4323544360900931,0.8969375736160188,0.43,0.2457627118644068,0.6666666666666666,0.44134125220607695,0.44279628718599834
random,ClassWeight,13,0.5080213903743316,0.45736059025038056,0.88279115551508,0.45,0.2727272727272727,0.6477272727272727,0.30561025547713755,0.5153544381922947
random,ClassWeight,14,0.6132879045996593,0.5536592126241464,0.9354944554561526,0.53,0.30638297872340425,0.8181818181818182,0.6351966424380218,0.5285784659813023
random,ClassWeight,15,0.5062166962699822,0.4377620575316403,0.8833235120801415,0.43,0.2651162790697674,0.6551724137931034,0.43745978237012695,0.45421940430395147
random,B-SMOTE,1,0.44240400667779634,0.34402862890903274,0.8520131865751459,0.33,0.21115537848605578,0.6091954022988506,0.36885307872427747,0.35291315538520573
random,B-SMOTE,2,0.3964401294498382,0.3160601080858151,0.8306730027212541,0.33,0.1814814814814815,0.5632183908045977,0.2951379129740442,0.3404890513166867
