Fold,Strategy,Calibration,F2,F2_tuned,Threshold,AvgPrecision,ROC-AUC,Brier,ECE,SpearmanVsRaw,nUniqueProb
1,ADASYN,isotonic,0.20053475935828877,,,0.34356584037387167,0.8560673340868722,0.03814688610630996,0.008439029236892777,0.993077373036268,66
1,RUS,raw,0.4574742268041237,0.418848167539267,0.6799999999999999,0.36486263286458476,0.8608778728672157,0.14903879876210183,0.2915524310889912,1.0,1451
1,RUS,sigmoid,0.0,,,0.36486263286458476,0.8608778728672157,0.03913554472966376,0.009904012786839776,1.0,1451
1,RUS,isotonic,0.22486772486772486,,,0.3194994815473986,0.8586643522256311,0.03791053646930166,0.004998182771768322,0.9904002805667734,55
2,None,raw,0.23529411764705882,0.5273833671399595,0.09,0.4544989544511052,0.896439639905549,0.03222908936194972,0.009672788989214644,1.0,1477
2,None,sigmoid,0.23391812865497075,,,0.4544989544511052,0.896439639905549,0.033829214803084415,0.010223100768783881,1.0,1477
2,None,isotonic,0.24355300859598855,,,0.42812303885817654,0.8918904958677686,0.03344535061620569,0.011359164418979191,0.9734948530119785,48
2,ClassWeight,raw,0.3661616161616162,0.5405405405405406,0.09,0.39768652044573416,0.8886105371900826,0.04057095538341217,0.026869963864001034,1.0,1477
2,ClassWeight,sigmoid,0.3405994550408719,,,0.39768652044573416,0.8886105371900826,0.035752242805844235,0.008389621193170138,0.9999999999999998,1477
2,ClassWeight,isotonic,0.24495677233429394,,,0.37229817754213357,0.885112898465171,0.03448211597620429,0.019584620396135188,0.9841785190003385,69
2,B-SMOTE,raw,0.4319654427645788,0.48,0.37999999999999995,0.3885253211400119,0.8804788961038961,0.058328429991917556,0.08714602165041739,1.0,1471
2,B-SMOTE,sigmoid,0.19174041297935104,,,0.3885253211400119,0.8804788961038961,0.03548588175394065,0.008833681057053523,1.0,1471
2,B-SMOTE,isotonic,0.26011560693641617,,,0.3603723767554477,0.8798221664698938,0.03452463138017794,0.01160446535988859,0.9915608185664475,59
2,SMOTE,raw,0.4766949152542373,0.4725085910652921,0.32999999999999996,0.38082726439078035,0.8779847992916174,0.06357326463460392,0.11195600729145891,1.0,1470
2,SMOTE,sigmoid,0.17804154302670624,,,0.38082726439078035,0.8779847992916174,0.03491995024608065,0.012119301919157877,1.0,1470
2,SMOTE,isotonic,0.26988636363636365,,,0.3497869462703695,0.8790399940968123,0.03476307053547757,0.007330831318380774,0.9837770548555997,55
2,ADASYN,raw,0.5,0.5118110236220472,0.4499999999999999,0.3761993842983272,0.8733065230224321,0.0665356439826815,0.11814845755713096,1.0,1470
2,ADASYN,sigmoid,0.12048192771084337,,,0.3761993842983272,0.8733065230224321,0.03515861973429597,0.015415900022580753,1.0,1470
2,ADASYN,isotonic,0.2840909090909091,,,0.34510575756906925,0.8724173553719008,0.03449263997767551,0.013993253571788749,0.981294067841544,48
2,RUS,raw,0.4672897196261682,0.45880149812734083,0.6399999999999999,0.3775549624807696,0.8746568772136953,0.1270540918105902,0.24053484809993353,1.0,1477
2,RUS,sigmoid,0.0,,,0.3775549624807696,0.8746568772136953,0.03545533025886812,0.008320456372823979,0.9999999999999998,1477
2,RUS,isotonic,0.268361581920904,,,0.34808504989163924,0.8723804604486424,0.03437506233791723,0.005638430704832027,0.9467076626692417,48
3,None,raw,0.24216524216524216,0.487551867219917,0.09999999999999999,0.3852630944153636,0.8715575907905616,0.0336556904671031,0.008239175025903553,1.0,1414
3,None,sigmoid,0.268361581920904,,,0.3852630944153636,0.8715575907905616,0.03501070939564808,0.013473535240536847,1.0,1414
3,None,isotonic,0.254957507082153,,,0.3581457651922892,0.8663705682404403,0.033437842109722074,0.007048734601182533,0.9861621620190717,58
3,ClassWeight,raw,0.45794392523364486,0.4801670146137787,0.58,0.365078942492421,0.8707873108750804,0.08213870235102279,0.15724493658345362,1.0,1463
3,ClassWeight,sigmoid,0.10479041916167664,,,0.365078942492421,0.8707873108750804,0.03452358884152329,0.009905873277544577,1.0,1463
3,ClassWeight,isotonic,0.2017291066282421,,,0.33572739358750847,0.870730776569357,0.03399671085410809,0.012888947792816904,0.9797664974260282,59
3,B-SMOTE,raw,0.448943661971831,0.42168674698795183,0.62,0.3216956622445536,0.8545831654971132,0.10035074223234255,0.19271769072795267,1.0,1292
3,B-SMOTE,sigmoid,0.0,,,0.3216956622445536,0.8545831654971132,0.03564246078729308,0.009211862207058124,1.0,1292
3,B-SMOTE,isotonic,0.1744186046511628,,,0.2924164875754336,0.8568092037849716,0.03504585641919941,0.008066055789300499,0.9881445648277202,47
3,SMOTE,raw,0.4088050314465409,0.4219409282700422,0.62,0.31398131341986085,0.848661196972588,0.10742712067961083,0.21033249327330086,1.0,1292
3,SMOTE,sigmoid,0.0,,,0.31398131341986085,0.848661196972588,0.035703056056095125,0.006664884479337099,1.0,1292
3,SMOTE,isotonic,0.1873198847262248,,,0.288010609317961,0.8415767417866254,0.03611367234430443,0.006217580893142168,0.9832440105815846,58
3,ADASYN,raw,0.3993055555555556,0.40404040404040403,0.4799999999999999,0.3111101992409748,0.8585688340506124,0.09008039683144496,0.16700868470557603,1.0,1458
3,ADASYN,sigmoid,0.0,,,0.3111101992409748,0.8585688340506124,0.03600911483851065,0.01199739397554725,1.0,1458
3,ADASYN,isotonic,0.2023121387283237,,,0.29051566153566716,0.856844537726049,0.03597881340837916,0.010004354755792061,0.9925688964867491,64
3,RUS,raw,0.4401154401154401,0.46236559139784944,0.73,0.3173918680388397,0.8673811189552459,0.13511935769463884,0.2674432237769112,1.0,1368
3,RUS,sigmoid,0.0,,,0.3173918680388397,0.8673811189552459,0.035618714142810405,0.005961713836710367,1.0,1368
3,RUS,isotonic,0.03067484662576687,,,0.2979172839370064,0.868423470217021,0.03553049322575598,0.00760039419834492,0.9884718904960497,62
4,None,raw,0.22332506203473945,0.512,0.07,0.39119359504521717,0.8889052403003428,0.04091136673052612,0.015850461635547736,1.0,1465
4,None,sigmoid,0.23514851485148514,,,0.39119359504521717,0.8889052403003428,0.04271462450622901,0.014358170208439148,1.0,1465
4,None,isotonic,0.22443890274314215,,,0.38552242731629016,0.8902002720874864,0.04049283688714963,0.010110720410346814,0.9849501444842729,64
4,ClassWeight,raw,0.5083333333333333,0.4852686308492201,0.5499999999999999,0.39020709929383113,0.8973948931271748,0.08735399281704935,0.15216426253233004,1.0,1467
4,ClassWeight,sigmoid,0.20253164556962025,,,0.39020709929383113,0.8973948931271748,0.04111192760735688,0.01033178902797777,0.9999999999999999,1467
4,ClassWeight,isotonic,0.2857142857142857,,,0.36025601389840956,0.8962437537608247,0.04112885483606369,0.007483400646398762,0.9945972499412924,69
4,B-SMOTE,raw,0.5008210180623974,0.4203935599284436,0.6,0.34869997306710926,0.8752027575020276,0.09091456324873319,0.14832592094569078,1.0,1427
4,B-SMOTE,sigmoid,0.0,,,0.34869997306710926,0.8752027575020276,0.042987890118976586,0.006480734683547727,1.0,1427
4,B-SMOTE,isotonic,0.22443890274314215,,,0.33011190911240795,0.8764389242079376,0.0442696991890065,0.01653531216654367,0.9738430169499358,65
4,SMOTE,raw,0.5063291139240507,0.5,0.5499999999999999,0.358200115884456,0.8917471156110196,0.09604582471977004,0.17599823581302518,1.0,1448
4,SMOTE,sigmoid,0.07894736842105263,,,0.358200115884456,0.8917471156110196,0.04171433005072098,0.014212151630904918,1.0,1448
4,SMOTE,isotonic,0.20151133501259447,,,0.3489385888910925,0.8906613818904849,0.04189714327872822,0.011130836206661492,0.9898915128292263,61
4,ADASYN,raw,0.4954268292682927,0.4355400696864111,0.59,0.3402373020921391,0.8728873976401643,0.1097960025736019,0.19464672114925272,1.0,1426
4,ADASYN,sigmoid,0.0,,,0.3402373020921391,0.8728873976401643,0.04314444375873962,0.007783384589562441,0.9999999999999999,1426
